2025-08-20 16:55:58 - INFO - Inputs:
2025-08-20 16:55:58 - INFO -  --> input_file = example_input.xlsx
2025-08-20 16:55:58 - INFO -  --> output_folder = example_output
2025-08-20 16:55:58 - INFO -  --> seed = 321
2025-08-20 16:55:58 - INFO -  --> unavailable = NIET
2025-08-20 16:55:58 - INFO -  --> clip_bot = 1
2025-08-20 16:55:58 - INFO -  --> clip_upp = 41
2025-08-20 16:55:58 - INFO -  --> net = False
2025-08-20 16:55:58 - INFO -  --> tabu_length = 4
2025-08-20 16:55:58 - INFO -  --> perturbation_length = 50
2025-08-20 16:55:58 - INFO -  --> n_iterations = 500
2025-08-20 16:55:58 - INFO -  --> m = 7
2025-08-20 16:55:58 - INFO -  --> p = 1000
2025-08-20 16:55:58 - INFO -  --> r_max = 4
2025-08-20 16:55:58 - INFO -  --> alpha = 0.5
2025-08-20 16:55:58 - INFO -  --> beta = 0.01
2025-08-20 16:55:58 - INFO -  --> cost_excessive_rest_days = 500.0
2025-08-20 16:55:58 - INFO - PROCESSING LEAGUE > LEAGUE A
2025-08-20 16:55:59 - INFO - Read and parsed input data
2025-08-20 16:55:59 - INFO - Phase 1: Construction
2025-08-20 16:55:59 - INFO - Initialized schedule using method 1 with cost 3274.0
2025-08-20 16:56:00 - INFO - Initialized schedule using method 2 with cost 848.0
2025-08-20 16:56:00 - INFO - Comparing costs 3274.0 vs. 848.0
2025-08-20 16:56:00 - INFO - Initialization method 2 is best
2025-08-20 16:56:00 - INFO - Phase 2: Tabu & perturbation
2025-08-20 16:56:01 - INFO - Iteration    50  ->  Cost = 25470.0 | Rest days = 4
2025-08-20 16:56:01 - INFO - Iteration    51  ->  Cost = 23965.0 | Rest days = 3
2025-08-20 16:56:01 - INFO - Iteration    52  ->  Cost = 22959.0 | Rest days = 3
2025-08-20 16:56:01 - INFO - Iteration    53  ->  Cost = 10956.0 | Rest days = 3
2025-08-20 16:56:01 - INFO - Iteration    54  ->  Cost =  9463.0 | Rest days = 2
2025-08-20 16:56:01 - INFO - Iteration    55  ->  Cost =  8456.0 | Rest days = 2
2025-08-20 16:56:01 - INFO - Iteration    56  ->  Cost =  7439.0 | Rest days = 2
2025-08-20 16:56:01 - INFO - Iteration    57  ->  Cost =  6459.0 | Rest days = 2
2025-08-20 16:56:01 - INFO - Iteration    58  ->  Cost =  5957.0 | Rest days = 1
2025-08-20 16:56:01 - INFO - Iteration    59  ->  Cost =  6444.0 | Rest days = 2
2025-08-20 16:56:01 - INFO - Iteration    60  ->  Cost =  4933.0 | Rest days = 1
2025-08-20 16:56:01 - INFO - Iteration    61  ->  Cost =  3440.0 | Rest days = 0
2025-08-20 16:56:01 - INFO - Iteration    62  ->  Cost =  3445.0 | Rest days = 0
2025-08-20 16:56:01 - INFO - Iteration    63  ->  Cost =  3445.0 | Rest days = 0
2025-08-20 16:56:01 - INFO - Iteration    64  ->  Cost =  3438.0 | Rest days = 0
2025-08-20 16:56:01 - INFO - Iteration    65  ->  Cost =  3463.0 | Rest days = 0
2025-08-20 16:56:01 - INFO - Iteration    66  ->  Cost =  2460.0 | Rest days = 0
2025-08-20 16:56:01 - INFO - Iteration    67  ->  Cost =  2465.0 | Rest days = 0
2025-08-20 16:56:01 - INFO - Iteration    68  ->  Cost =  2458.0 | Rest days = 0
2025-08-20 16:56:01 - INFO - Iteration    69  ->  Cost =  2460.0 | Rest days = 0
2025-08-20 16:56:01 - INFO - Iteration    70  ->  Cost =  2463.0 | Rest days = 0
2025-08-20 16:56:01 - INFO - Iteration    71  ->  Cost =  2458.0 | Rest days = 0
2025-08-20 16:56:01 - INFO - Iteration    72  ->  Cost =  2458.0 | Rest days = 0
2025-08-20 16:56:01 - INFO - Iteration    73  ->  Cost =  2936.0 | Rest days = 1
2025-08-20 16:56:01 - INFO - Iteration    74  ->  Cost =  2922.0 | Rest days = 1
2025-08-20 16:56:01 - INFO - Iteration    75  ->  Cost =  2927.0 | Rest days = 1
